Channel_Sumber,Author,Comment_Final,Likes,Time,Tipe_Komentar
Jagat Review,@CheverrlynAdyba,link beli chamon pro 5g,0,2026-03-21 13:04:52+00:00,Utama
Jagat Review,@caesarrizkie9742,ngomongin rog kah kamera turun lihat review camera rog jagat pesona handphone gaming cameranya bagus banget,0,2026-03-17 20:41:02+00:00,Utama
Jagat Review,@adealfian664,user samsung one ui ui enak ui ui if you can think it it can do it nyari foto spesifik foto hapus objek d foto hantem nyetel lagu speaker blutut tonton video suara misah ngeblok telpon nomer kenal pas nyalain wifi trs data otomatis mati pas sampe kerja otomatis masuk focus mode pas buka apk bank nfc auto jalan one ui d coba ui enak banget,0,2026-03-13 23:27:54+00:00,Utama
Jagat Review,@RsyatLyioz,tecno pova ultra 5g,0,2026-03-12 20:11:30+00:00,Utama
Jagat Review,@CitraUtut,tolong buatin rekomendasi lebaran,2,2026-03-02 23:12:23+00:00,Utama
Jagat Review,@KellenArgos-q1f9m,infinix gt30 pro harga juta tau harga asli juta face with tears of joy,0,2026-03-01 00:48:32+00:00,Utama
Jagat Review,@rifqifadilla6877,beli toko,0,2026-03-02 16:50:28+00:00,Reply
Jagat Review,@RahmatRamadhan-e6k,samsung s24fe5g aman kah beli,0,2026-02-28 15:16:53+00:00,Utama
Jagat Review,@mailnasrunyuiik4983,bingung seri juta bagus bagus beli handphone lebaran saran infinix gt non pro tecno camon pro 5g,0,2026-02-28 06:41:12+00:00,Utama
Jagat Review,@dengamil2908,camera camon game gt,0,2026-02-28 09:12:22+00:00,Reply
Jagat Review,@RDWNSahabat-Quran,bahas samsung galaxy seri m kalah mantap user m34 dh puas dri segi tahan cemplung banting lempar keinjek jatuh jalan bru ketemu grinning face with sweat game ringan kualitas kamera batteray ui dll,0,2026-02-26 01:00:12+00:00,Utama
Jagat Review,@rarabatara,redmi note 5g ultrawide murah chipset 5g,0,2026-02-22 02:54:42+00:00,Utama
Jagat Review,@RallyFury-i5k5p,segi kamera foto video menang samsung a26 a36 ya range,0,2026-02-21 17:13:30+00:00,Utama
Jagat Review,@KatalisOpsianal,handphone lambat panas face with tears of joy face with tears of joy face with tears of joy ganti kali ya 5th pakai redmi note 10s,0,2026-02-20 20:51:25+00:00,Utama
Jagat Review,@mandra213,moto g57 power masuk ya pilih aja,0,2026-02-17 02:28:54+00:00,Utama
Jagat Review,@zall1150,realme fitri,0,2026-02-16 01:09:48+00:00,Utama
Jagat Review,@alwafaathea,pentingin kembangin dingin mesin dah kembang handphone kenceng adem,1,2026-02-14 08:35:46+00:00,Utama
Jagat Review,@God.SP3ed,paman ded paman chris warga jr info handphone colok otg langsung auto on pergi setting banget fitur,0,2026-02-10 00:57:53+00:00,Utama
Jagat Review,@elvanwijaya3501,poco kah,0,2026-02-09 17:03:43+00:00,Utama
Jagat Review,@SuperRossonere,iqoo z10 pakai layar p oled amoled,0,2026-02-07 16:43:22+00:00,Utama
Jagat Review,@tyobuki5773,infinix gt pro non gaming rekomended,2,2026-02-07 06:06:13+00:00,Utama
Jagat Review,@wbsadryan,kaum dang mending cari triple slot sim plus sdcard,0,2026-02-06 10:12:50+00:00,Utama
Jagat Review,@Zean19444,budget 3jt moto g86 power bagus,0,2026-02-04 00:20:10+00:00,Utama
