Produk,Harga_Produk,Produk_Terjual,Lokasi_Toko,E-Commerce
devilmimi realme C71 8GB+16GB / 128GB Handphone NFC Chipset Octa-Core | Fast Charging 45W Bergaransi,2139000,568.0,surabaya (kota),Shopee
Samsung Galaxy A07 4/64GB - Black,1599000,10000.0,surabaya (kota),Shopee
Samsung Galaxy A16 8/128GB - Black,2759000,10000.0,jakarta utara (kota),Shopee
HP IPHONE 14 128GB - Garansi Resmi Indonesia,9165000,13.0,surabaya (kota),Shopee
Infinix Hot 60i 6/128GB - Up to 12GB Extended RAM - Helio G81 - 6.7 inch 120Hz HD+ - 50MP - 5160 mAh - NFC,1799000,10000.0,jakarta utara (kota),Shopee
ITEL A100C 3+5GB RAM |/64GB ROM Smartphone 6.6 Inch 90Hz Military-Grade 5000mAh 4+64GB 4 Warna,1249000,61.0,jakarta barat (kota),Shopee
SAMSUNG GALAXY A56 5G 8/12GB 256GB,5969000,87.0,surabaya (kota),Shopee
iPhone 17 Pro 256GB Garansi Resmi Indonesia,24599000,3.0,surabaya (kota),Shopee
Infinix Smart 20 4/64GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64,1499000,2000.0,jakarta utara (kota),Shopee
SAMSUNG GALAXY A17 8GB 256GB | BLACK - BLUE - GREY,3289000,3.0,surabaya (kota),Shopee
SAMSUNG GALAXY A36 5G 8GB 256GB | BLACK - LAVENDER - LIME - WHITE,4809000,30.0,surabaya (kota),Shopee
Oppo Reno 15F 5G 12/256GB Garansi Resmi Indonesia,6999000,40.0,surabaya (kota),Shopee
Tecno Spark 40 6/128GB & 8/256GB [Garansi Resmi Tecno],2088000,88.0,surabaya (kota),Shopee
Samsung Galaxy A07 5G 6/128GB Garansi Resmi SEIN,2799000,7.0,surabaya (kota),Shopee
INFINIX HOT 60 PRO PLUS 8GB 128GB BLACK SILVER,2779000,58.0,surabaya (kota),Shopee
Xiaomi Redmi 15 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB - Garansi Resmi 1 Tahun,2433000,2000.0,surabaya (kota),Shopee
"Samsung Galaxy A17 5G  LTE 8/256GB Original, Garansi Resmi",3099000,1000.0,bogor (kota),Shopee
APPLE iPHONE 17 PRO (256GB / 512GB / 1TB) Garansi Resmi Original 100%,23999000,91.0,kotawaringin timur (kabupaten),Shopee
devilmimi realme series C85 PRO Ultra Batery 7000mAh | 120Hz AMOLED Extended RAM 8GB+16GB/256GB ORI,3389000,48.0,surabaya (kota),Shopee
Infinix Note Edge 5G 8GB+256GB - MediaTek Dimensity 7100 - AMOLED - 50MP - 6500mAh - Garansi Resmi 1 Tahun,3349000,205.0,jakarta barat (kota),Shopee
Samsung Galaxy A56 5G 12/256GB - Awesome Graphite,5919000,111.0,jakarta pusat (kota),Shopee
Apple Iphone (14 128 GB)  (256 GB) - Garansi Resmi [Bisa Instant Area Malang],11299000,42.0,malang (kota),Shopee
Samsung Galaxy A26 5G 8/256GB RAM 8GB ROM 256GB - Garansi Resmi,3989050,1000.0,jakarta selatan (kota),Shopee
Samsung Galaxy A07 4/64GB | 4/128GB | 6/128GB | 8/256GB Garansi Resmi,1708000,3000.0,surabaya (kota),Shopee
"Redmi Note 15 5G (Ram 8/12GB, Rom 256/512GB, IP66, Snapdragon 6s Gen3, Body Titan Durability)",3916000,46.0,surabaya (kota),Shopee
Xiaomi Poco X7 Pro 5G Ram 12/512 GB Garansi Resmi,5179000,2000.0,surabaya (kota),Shopee
Xiaomi Redmi Note 15 Pro 5G 8/256GB 12/512GB Dimensity 7400-Ultra AMOLED 120Hz Garansi Resmi,4834000,17.0,surabaya (kota),Shopee
