channel,username,text,tanggal,panjang_komentar,sentiment
Jagat Review,@CheverrlynAdyba,untuk link pembelian chamon pro g kok gk ada bang,2026-03-21 13:04:52+00:00,49,netral
Jagat Review,@caesarrizkie9742,ngomongin rog kah kameranya makin menurun soalnya saya jg dulu liat review camera rog di jagat terpesonaada hp gaming tapi cameranya bagus banget,2026-03-17 20:41:02+00:00,145,positif
Jagat Review,@adealfian664,sebagai user samsung one ui itu ui paling enak ui yang quotapa lu mau gua bisaquot ui yang quotif you can think it it can do itquotbrbrmau nyari foto yang spesifik ada kata tertentu di fotonya bisabrbrmau hapus objek d foto bisabrbrmau hantem nyetel lagu di speaker blutut dan lu nonton video suaranya misah bisabrbrmau ngeblok telpon dari nomer yang gak dikenal bisabrbrmau pas nyalain wifi trs datanya otomatis mati bisabrbrmau pas sampe tempat kerja otomatis masuk focus mode bisabrbrmau pas buka apk bank nfc nya auto jalan bisabrbrbrbanyak lagi deh emang bener one ui itu harus d coba dulu baru kerasa klo ui nya itu enak banget,2026-03-13 23:27:54+00:00,633,netral
Jagat Review,@RsyatLyioz,tecno pova ultra g bg,2026-03-12 20:11:30+00:00,21,netral
Jagat Review,@CitraUtut,bang tolong buatin dong rekomendasi buat lebaran,2026-03-02 23:12:23+00:00,48,netral
Jagat Review,@KellenArgos-q1f9m,gue dapet infinix gt pro di harga juta baru tau dari sini kalau harga aslinya juta,2026-03-01 00:48:32+00:00,82,netral
Jagat Review,@rifqifadilla6877,beli toko apa bg,2026-03-02 16:50:28+00:00,16,netral
Jagat Review,@RahmatRamadhan-e6k,kalo samsung sfeg aman kh beli taun,2026-02-28 15:16:53+00:00,35,netral
Jagat Review,@mailnasrunyuiik4983,bingung gua di seri juta ini pada bagus bagus gua mau beli hp buat lebaran nanti saran dong mending infinix gt non pro atau tecno camon pro g,2026-02-28 06:41:12+00:00,141,positif
Jagat Review,@dengamil2908,kalo camera mending camon tapi kalo untuk ke game mending gt,2026-02-28 09:12:22+00:00,60,netral
