Brand,jumlah_komentar,sentiment_score_avg,rank_raw,weighted_sentiment,rank_weighted,rank_change
Xiaomi,976,0.08811475409836066,2,0.025504151838671413,1,1
Infinix,487,0.06981519507186858,3,0.010083036773428231,2,1
Vivo,182,0.15934065934065933,1,0.00860023724792408,3,-2
Samsung,460,0.043478260869565216,5,0.005931198102016607,4,1
iPhone,127,0.06299212598425197,4,0.0023724792408066427,5,-1
Motorola,336,0.0,6,0.0,6,0
Asus,49,-0.10204081632653061,9,-0.0014827995255041518,7,2
iQOO,89,-0.0898876404494382,8,-0.0023724792408066427,8,0
Oppo,213,-0.07042253521126761,7,-0.004448398576512456,9,-2
Realme,137,-0.15328467153284672,11,-0.0062277580071174385,10,1
Tecno,316,-0.12658227848101267,10,-0.011862396204033216,11,-1
