Brand,jumlah_komentar,sentiment_score_avg,weighted_sentiment,rank_raw,rank_weighted
Lainnya,4474,0.12382655341975861,0.07695513265731352,6.0,1.0
Xiaomi,976,0.08299180327868852,0.011251562717044033,8.0,2.0
Infinix,474,0.12447257383966245,0.008195582719822198,5.0,3.0
Samsung,426,0.09389671361502347,0.005556327267676066,7.0,4.0
Vivo,184,0.1793478260869565,0.004583969995832754,1.0,5.0
Tecno,198,0.1414141414141414,0.003889429087373246,3.0,6.0
iPhone,126,0.12698412698412698,0.0022225309070704265,4.0,7.0
Oppo,157,0.07006369426751592,0.0015279899986109181,9.0,8.0
Asus,45,0.15555555555555556,0.0009723572718433116,2.0,9.0
Realme,139,0.050359712230215826,0.0009723572718433115,10.0,10.0
