link_produk,brand,harga,lokasi_toko,potongan,voucher_klaim,penjualan,jumlah_rating,keunggulan,metode_transaksi
https://www.lazada.co.id/products/pdp-i8415508509.html,Redmi 6A Cellphone Minus,Rp99.000,Kab. Bogor,,,,,,
https://www.lazada.co.id/products/pdp-i8702334571.html,MESIN HANDPHONE SAMSUNG A10 NO POLA,Rp275.000,Kab. Cirebon,,,,,,
https://www.lazada.co.id/products/pdp-i8645942251.html,Infini Smart 9 - 4/128Gb - Mediatek Helio G81 - Ips Lcd 120 Hz,Rp928.264,Kota Jakarta Selatan,23% Off,Voucher save 23%,32 sold,(7),,
https://www.lazada.co.id/products/pdp-i7722014104.html,mesin hp xiaomi redmi 8a pro ori cabutan normal,Rp299.900,Kab. Subang,,,,(3),,
https://www.lazada.co.id/products/pdp-i7656644228.html,Hp Android Smartphone Mito A16 Ram 1/8GB 4G Fullview Fingerprint,Rp399.000,Kota Tangerang,5% Off,Voucher save 5%,,,,
https://www.lazada.co.id/products/pdp-i7689918282.html,Xiaomi Mi A1 4/64,Rp1.000.000,Kota Tangerang Selatan,,,,,,
https://www.lazada.co.id/products/pdp-i8642058126.html,Hot sale JBL studio headset bass clear sound extra bass JBL headphone,Rp12.125,Kota Jakarta Barat,31% Off,Voucher save 31%,5.1K sold,(1632),,
https://www.lazada.co.id/products/pdp-i7871200151.html,mesin nokia N8 sembian normal lcd garis,Rp80.000,Kab. Cirebon,,,18 sold,(13),,
https://www.lazada.co.id/products/pdp-i8087956515.html,Mesin Realme C2  Normal Jaya Tested,Rp170.000,Kab. Karanganyar,,,18 sold,(8),,
https://www.lazada.co.id/products/pdp-i6960184242.html,lcd tablet advan tab 8001,Rp350.000,Kota Tangerang Selatan,,,,,,
https://www.lazada.co.id/products/pdp-i8089980206.html,INFINIX SMART 8 RAM 4GB 128GB,Rp1.299.000,Kab. Bandung Barat,,,,(2),,
https://www.lazada.co.id/products/pdp-i7505478900.html,Growths - Infinix Smart 7 4/64GB,Rp1.100.000,Kab. Bogor,19% Off,Voucher save 19%,13 sold,(5),,
https://www.lazada.co.id/products/pdp-i8254388863.html,Samsung Galaxy A04S [4Gb+64Gb -4Gb+128Gb] Exynos 850 |   50Mp Triple Camera |   6.5” Pls Lcd |   Li-Po 5000Mah |,Rp1.100.000,Kota Jakarta Selatan,8% Off,Voucher save 8%,,,,
https://www.lazada.co.id/products/pdp-i7939706609.html,Xiaomi Redmi 6A RAM 2/16GB Bekas  termurah,Rp290.000,Kab. Cirebon,,,94 sold,(52),,
https://www.lazada.co.id/products/pdp-i8115190630.html,headset earphone pilip j-778 L29 D21 JB02 UJ-02 JB-01 MA-21 AN-J11 EXTRA BASS whit mic,Rp6.250,Kota Jakarta Timur,58% Off,Voucher save 58%,6.4K sold,(500),,
https://www.lazada.co.id/products/pdp-i8753568191.html,Infinix Smart,Rp1.150.000,Kota Jakarta Selatan,4% Off,Voucher save 4%,,,,
https://www.lazada.co.id/products/pdp-i8137878070.html,REDMI 13C 6/128GB SECOND LIKENEW,Rp1.300.000,Kab. Purbalingga,7% Off,Voucher save 7%,,,,
