"link_produk","judul_produk","harga","potongan_harga","flex-none src","rating","terjual","jenis","inline src","kota"
"https://shopee.co.id/devilmimi-realme-C71-8GB-16GB-128GB-Handphone-NFC-Chipset-Octa-Core-Fast-Charging-45W-Bergaransi-i.1698327646.51054564909?extraParams=%7B%22display_model_id%22%3A345543610079%2C%22model_selection_logic%22%3A3%7D&sp_atk=62f18953-36e5-497a-8336-ec58bb1c0128&xptdk=62f18953-36e5-497a-8336-ec58bb1c0128","devilmimi realme C71 8GB+16GB / 128GB Handphone NFC Chipset Octa-Core | Fast Charging 45W Bergaransi","2.139.000","-55%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","568 Terjual","4 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/devilmimi-realme-series-C71-4GB-8GB-128-GB-baterai-titan-6300mAh-Pulse-Light-Notification-HP-i.1698327646.55704569318?extraParams=%7B%22display_model_id%22%3A445426148382%2C%22model_selection_logic%22%3A3%7D&sp_atk=189af026-700f-4e15-bf2f-1cff2223829b&xptdk=189af026-700f-4e15-bf2f-1cff2223829b","devilmimi realme series C71 4GB+8GB / 128 GB baterai titan 6300mAh | Pulse Light Notification HP","1.792.000","-55%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","225 Terjual","4 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/-BARU-OPPO-A6t-Online-Exclusive-4-64-128GB-6-128GB-Snapdragon-685-6500mAh-Large-Battery-120Hz-Ultra-High-Refresh-Rate--i.13140292.57604385527?extraParams=%7B%22display_model_id%22%3A118776350105%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b608833-722e-4e6b-9b22-f8cb0976cfdc&xptdk=7b608833-722e-4e6b-9b22-f8cb0976cfdc","[BARU] OPPO A6t Online Exclusive 4+64/128GB & 6+128GB [Snapdragon 685, 6500mAh Large Battery, 120Hz Ultra High Refresh Rate]","1.999.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","3RB+ Terjual","2-4 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Tangerang"
"https://shopee.co.id/Samsung-Galaxy-A07-4-64GB-Black-i.52635036.43962255887?extraParams=%7B%22display_model_id%22%3A301025014642%2C%22model_selection_logic%22%3A3%7D&sp_atk=4a55313d-3cab-47ff-8e08-8a3dc6ca1465&xptdk=4a55313d-3cab-47ff-8e08-8a3dc6ca1465","Samsung Galaxy A07 4/64GB - Black","1.599.000","-6%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","5 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/itel-City200-NFC-RAM-128-8GB(4-4GB)-Big-Battery-5200mAh-6.78''-120Hz-IP65-High-Brightness-Display-i.1586001868.47055421260?extraParams=%7B%22display_model_id%22%3A430492096091%2C%22model_selection_logic%22%3A3%7D&sp_atk=16bf68ed-0164-4630-a7a4-b300ce1ec8f3&xptdk=16bf68ed-0164-4630-a7a4-b300ce1ec8f3","itel City200 NFC RAM 128+8GB(4+4GB) - Big Battery 5200mAh - 6.78'' 120Hz IP65 High Brightness Display","1.548.000","-38%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","1RB+ Terjual","Besok","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Jakarta Barat"
"https://shopee.co.id/Xiaomi-Redmi-Note-15-(6-128-GB)-(8-128-GB)-(8-256-GB)-Baterai-besar-6000mAh-Kaca-layar-dengan-daya-tahan-tinggi-IP64-Ketahanan-debu-dan-air-Kamera-super-jernih-108MP-Layar-AMOLED-FHD-6-77-NFC-Xiaomi-Official-Store--i.51925611.43864504862?extraParams=%7B%22display_model_id%22%3A330487702260%2C%22model_selection_logic%22%3A3%7D&sp_atk=9e56474b-4c09-485f-80ba-97824065d59e&xptdk=9e56474b-4c09-485f-80ba-97824065d59e","Xiaomi Redmi Note 15 (6/128 GB) (8/128 GB) (8/256 GB) | Baterai besar 6000mAh | Kaca layar dengan daya tahan tinggi | IP64 Ketahanan debu dan air | Kamera super jernih 108MP | Layar AMOLED FHD+ 6,77"" | NFC [Xiaomi Official Store]","2.599.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","2-3 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Kab. Tangerang"
"https://shopee.co.id/Samsung-Galaxy-A16-8-128GB-Black-i.52635036.26817242184?extraParams=%7B%22display_model_id%22%3A99687259092%2C%22model_selection_logic%22%3A3%7D&sp_atk=510df1ca-7202-42cc-9a5c-e561daf9d8bb&xptdk=510df1ca-7202-42cc-9a5c-e561daf9d8bb","Samsung Galaxy A16 8/128GB - Black","2.759.000","-8%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","2-4 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Jakarta Utara"
"https://shopee.co.id/OPPO-Reno13-F-4G-8GB-256GB-IP69-Water-Resistance-50MP-Ultra-Camera.-5800mAh-Battery-45W-SUPERVOOC--i.13140292.27321397415?extraParams=%7B%22display_model_id%22%3A252311690412%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2378649-e7c9-4a93-b5e9-169eddae3590&xptdk=d2378649-e7c9-4a93-b5e9-169eddae3590","OPPO Reno13 F 4G 8GB/256GB [IP69 Water Resistance, 50MP Ultra-Camera. 5800mAh Battery 45W SUPERVOOC]","4.699.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","4RB+ Terjual","2-4 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Tangerang"
"https://shopee.co.id/POCO-C85-(6-128-GB)-(8-256-GB)-Baterai-besar-6000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-120Hz-50MP-kamera-ganda-AI-Official-Store--i.51925611.42814330071?extraParams=%7B%22display_model_id%22%3A186217199083%2C%22model_selection_logic%22%3A3%7D&sp_atk=50bc9318-8c00-4ea9-8572-1bb65de64084&xptdk=50bc9318-8c00-4ea9-8572-1bb65de64084","POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]","1.799.000","-8%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","2-3 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Kab. Tangerang"
"https://shopee.co.id/Xiaomi-Redmi-15-(8GB-128GB)-(8GB-256GB)-Baterai-besar-7000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-144Hz-50MP-kamera-ganda-AI-Official-Store--i.1632696269.27342628457?extraParams=%7B%22display_model_id%22%3A266877582660%2C%22model_selection_logic%22%3A3%7D&sp_atk=2a38a37a-c63a-4397-a506-70c821bf6698&xptdk=2a38a37a-c63a-4397-a506-70c821bf6698","Xiaomi Redmi 15 (8GB/128GB) (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 144Hz | 50MP  kamera ganda AI [Official Store]","2.299.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","3RB+ Terjual","2-3 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Kab. Tangerang"
"https://shopee.co.id/HP-IPHONE-14-128GB-Garansi-Resmi-Indonesia-i.30103636.44855012375?extraParams=%7B%22display_model_id%22%3A307349661673%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5b6e512-71d3-4f88-9ca5-bdbfa9663992&xptdk=f5b6e512-71d3-4f88-9ca5-bdbfa9663992","HP IPHONE 14 128GB - Garansi Resmi Indonesia","9.165.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","13 Terjual","Hari ini","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/-Free-Gift-realme-P3-Lite-4G-4GB-8GB-RAM-128GB-NFC-120Hz-Display-50MP-Camera-6300mAh-Battery-Android-Smartphone-i.1704458777.54406155901?extraParams=%7B%22display_model_id%22%3A350628325833%2C%22model_selection_logic%22%3A3%7D&sp_atk=c62ac6b6-5e6c-4ff3-b93d-684f0f42677b&xptdk=c62ac6b6-5e6c-4ff3-b93d-684f0f42677b","[Free Gift]realme P3 Lite 4G 4GB+8GB RAM 128GB NFC 120Hz Display 50MP Camera 6300mAh Battery Android Smartphone","1.619.000","-52%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","52 Terjual","3-6 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Denpasar"
"https://shopee.co.id/Infinix-Hot-60i-6-128GB-Up-to-12GB-Extended-RAM-Helio-G81-6.7-inch-120Hz-HD-50MP-5160-mAh-NFC-i.342033216.43406203987?extraParams=%7B%22display_model_id%22%3A275519527379%2C%22model_selection_logic%22%3A3%7D&sp_atk=c5f8a807-c1cc-4ac1-b42d-ce4da1cd841b&xptdk=c5f8a807-c1cc-4ac1-b42d-ce4da1cd841b","Infinix Hot 60i 6/128GB - Up to 12GB Extended RAM - Helio G81 - 6.7 inch 120Hz HD+ - 50MP - 5160 mAh - NFC","1.799.000","-5%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","2-4 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Jakarta Utara"
