Brand,Sentiment_Score_Avg,Weighted_Sentiment,Positif_Pct,Negatif_Pct,Total,total_listing,total_terjual,avg_harga,norm_sentiment,norm_terjual,norm_harga,composite_score,rank_composite,kuadran,final_rank
Infinix,0.0699,0.4305,20.3,13.3,472,582,618540,1918193.52,0.8745677041766426,1.0,0.1472801926599323,0.7366,1,Star Brand,1
Vivo,0.1226,0.6191,23.2,11.0,155,347,385559,2983920.42,1.0,0.6233055451358798,0.253229052488845,0.6815,2,Star Brand,2
Samsung,0.0647,0.3905,18.7,12.2,417,818,428385,4412702.02,0.8479648842777334,0.6925486023981063,0.395270865888253,0.6804,3,Star Brand,3
Sony,0.2222,0.5116,22.2,0.0,9,5,52,10495600.0,0.9285049215216812,0.0,1.0,0.6214,4,Hidden Gem,4
Apple,0.0845,0.4194,28.2,19.7,142,154,97177,8205674.99,0.8671854216546953,0.1570361914863344,0.7723479214954493,0.5949,5,Star Brand,5
Xiaomi,0.087,0.599,22.0,13.3,977,581,144710,3136497.28,0.986632083000798,0.2338897440209026,0.2683974266316724,0.5436,6,Star Brand,6
Nokia,0.2,0.3584,40.0,20.0,5,65,56666,436719.69,0.8266161213088586,0.0915361332798696,0.0,0.3627,7,Star Brand,7
Huawei,-0.0556,-0.1637,11.1,16.7,18,8,630,6896000.0,0.4793828145783452,0.0009345371292571,0.6421470492673553,0.3526,8,Underperformer,8
Motorola,-0.0148,-0.083,15.1,16.6,271,36,1610,3616361.11,0.5330540037243947,0.0025190464487589,0.3161029182183399,0.2931,9,Underperformer,9
Oppo,-0.0556,-0.289,16.1,21.7,180,375,71376,3487174.25,0.3960494812450119,0.1153199415348398,0.3032598525869128,0.2746,10,Overrated,10
Asus,-0.1333,-0.5104,17.8,31.1,45,20,73,6544578.3,0.248802873104549,3.3953771132180414e-05,0.6072105862446633,0.2513,11,Underperformer,11
iQOO,-0.0825,-0.3783,19.6,27.8,97,14,2100,4173742.86,0.3366586858206969,0.0033113011085097,0.3715148261864545,0.2287,12,Underperformer,12
Realme,-0.1439,-0.7111,18.7,33.1,139,297,42424,2525421.52,0.1153232242617717,0.0685090090672737,0.2076475478014709,0.122,13,Underperformer,13
Tecno,-0.1684,-0.8845,20.0,36.8,190,374,22778,2483103.73,0.0,0.0367444477499967,0.2034405397950301,0.0637,14,Underperformer,14
