Brand,Positif,Netral,Negatif,Total,Sentiment_Score_Avg,Weighted_Sentiment,Positif_Pct,Negatif_Pct
Vivo,36,102,17,155,0.1226,0.6191,23.2,11.0
Xiaomi,215,632,130,977,0.087,0.599,22.0,13.3
Sony,2,7,0,9,0.2222,0.5116,22.2,0.0
Infinix,96,313,63,472,0.0699,0.4305,20.3,13.3
Apple,40,74,28,142,0.0845,0.4194,28.2,19.7
Samsung,78,288,51,417,0.0647,0.3905,18.7,12.2
Nokia,2,2,1,5,0.2,0.3584,40.0,20.0
Lenovo,2,5,1,8,0.125,0.2747,25.0,12.5
Meizu,0,1,0,1,0.0,0.0,0.0,0.0
Oneplus,0,4,0,4,0.0,0.0,0.0,0.0
Motorola,41,185,45,271,-0.0148,-0.083,15.1,16.6
Huawei,2,13,3,18,-0.0556,-0.1637,11.1,16.7
Nubia,2,11,3,16,-0.0625,-0.1771,12.5,18.8
Honor,5,24,7,36,-0.0556,-0.2008,13.9,19.4
Oppo,29,112,39,180,-0.0556,-0.289,16.1,21.7
Sharp,0,5,1,6,-0.1667,-0.3244,0.0,16.7
Iqoo,19,51,27,97,-0.0825,-0.3783,19.6,27.8
Google,2,14,5,21,-0.1429,-0.4417,9.5,23.8
Asus,8,23,14,45,-0.1333,-0.5104,17.8,31.1
Realme,26,67,46,139,-0.1439,-0.7111,18.7,33.1
Tecno,38,82,70,190,-0.1684,-0.8845,20.0,36.8
